timestamp,size,anomaly
1739435402.590933,1816,False
1739435402.685942,74,False
1739435402.726037,425,False
1739435402.728859,143,False
1739435402.729022,628,False
1739435403.012946,74,False
1739435403.013044,89,False
1739435403.022142,241,False
1739435403.06807,54,False
1739435403.0878,1294,False
1739435403.088042,672,False
1739435403.088094,74,False
1739435403.112034,1294,False
1739435403.112302,1294,False
1739435403.112384,74,False
1739435403.112458,1294,False
1739435403.140546,1294,False
1739435403.140697,74,False
1739435403.140749,1171,False
1739435403.140869,310,False
1739435403.14091,74,False
1739435403.151518,1294,False
1739435403.152344,1294,False
1739435403.152428,74,False
1739435403.152514,507,False
1739435403.153036,74,False
1739435403.422618,507,False
1739435403.422738,86,False
1739435403.422792,89,False
1739435403.422841,66,False
1739435403.505585,74,False
1739435403.506491,74,False
1739435403.506615,74,False
1739435403.580742,86,False
1739435403.631866,66,False
1739435403.656455,66,False
1739435403.656547,1079,False
1739435403.78738,55,False
1739435403.793243,74,False
1739435404.960258,66,False
1739435404.960421,89,False
1739435404.960524,487,False
1739435404.960615,54,False
1739435404.96076,85,False
1739435404.960812,487,False
1739435404.960865,54,False
1739435404.960967,85,False
1739435404.962001,89,False
1739435405.406262,89,False
1739435405.408296,54,False
1739435405.881391,119,False
1739435406.087131,54,False
1739435407.524176,86,False
1739435407.524238,86,False
1739435408.369695,86,False
1739435408.376858,78,False
1739435411.206199,165,False
1739435411.216701,102,False
1739435411.412559,54,False
1739435413.389925,148,False
1739435413.443532,86,False
1739435413.475089,72,False
1739435413.47529,72,False
1739435413.475389,72,False
1739435413.476464,148,False
1739435413.765064,86,False
1739435413.765208,74,False
1739435413.765618,591,False
1739435413.781919,333,False
1739435413.791995,337,False
1739435413.798346,254,False
1739435413.80033,1292,False
1739435413.800493,1292,False
1739435413.970847,54,False
1739435413.97096,424,False
1739435413.971107,74,False
1739435413.971299,1294,False
1739435413.971542,1294,False
1739435413.971618,74,False
1739435413.971843,1294,False
1739435413.971954,536,False
1739435413.972026,74,False
1739435413.972145,425,False
1739435413.972249,54,False
1739435413.973077,154,False
1739435413.973452,241,False
1739435413.974646,143,False
1739435413.974731,1816,False
1739435413.974974,143,False
1739435413.975018,628,False
1739435414.28125,536,False
1739435414.281384,86,False
1739435414.632891,321,False
1739435414.993768,74,False
1739435415.017162,1454,False
1739435415.038364,425,False
1739435415.038471,66,False
1739435415.301086,1294,False
1739435415.307773,672,False
1739435415.30794,74,False
1739435415.33669,1294,False
1739435415.336876,1294,False
1739435415.336972,74,False
1739435415.337122,1294,False
1739435415.337386,1294,False
1739435415.337466,74,False
1739435415.337635,1294,False
1739435415.337874,1294,False
1739435415.337954,74,False
1739435415.340401,385,False
1739435415.340649,1294,False
1739435415.34071,74,False
1739435415.34085,243,False
1739435415.341954,74,False
1739435415.712919,306,False
1739435415.712999,243,False
1739435415.713051,86,False
1739435415.717898,100,False
1739435416.141823,100,False
1739435416.143628,255,False
1739435416.143731,54,False
1739435416.148947,102,False
1739435416.284165,1454,False
1739435416.289252,54,False
1739435416.311498,1294,False
1739435416.311614,86,False
1739435416.316282,74,False
1739435416.347681,66,False
1739435416.397453,54,False
1739435416.806761,1292,False
1739435417.758787,1294,False
1739435417.758916,86,False
1739435417.805416,66,False
1739435417.805664,102,False
1739435417.805934,487,False
1739435417.806006,54,False
1739435417.806027,1292,False
1739435417.806083,85,False
1739435417.806345,487,False
1739435417.806404,54,False
1739435417.806499,85,False
1739435417.807218,89,False
1739435418.132865,74,False
1739435418.849358,89,False
1739435419.398071,54,False
1739435421.362104,86,False
1739435421.383429,78,False
1739435421.651891,74,False
1739435421.651891,74,False
1739435421.76593,74,False
1739435421.835154,74,False
1739435421.835318,74,False
1739435421.92281,74,False
1739435423.084075,74,False
1739435423.084075,113,False
1739435423.084075,113,False
1739435423.084355,74,False
1739435423.084501,86,False
1739435425.703533,148,False
1739435425.706736,86,False
1739435425.746683,148,False
1739435426.058083,86,False
1739435426.058318,74,False
1739435426.077278,591,False
1739435426.360297,54,False
1739435426.360615,424,False
1739435426.362768,143,False
1739435426.362892,1816,False
1739435426.444392,74,False
1739435426.493901,425,False
1739435426.495733,143,False
1739435426.495829,628,False
1739435426.498157,1294,False
1739435426.498515,1294,False
1739435426.498669,1294,False
1739435426.498689,74,False
1739435426.498725,537,False
1739435426.49878,74,False
1739435426.499958,154,False
1739435426.500667,241,False
1739435426.769837,89,False
1739435426.810289,54,False
1739435426.810288,74,False
1739435427.077124,66,False
1739435427.077328,66,False
1739435427.177523,1079,False
1739435427.226166,1294,False
1739435427.226248,672,False
1739435427.226313,74,False
1739435427.243255,42,False
1739435427.243275,42,False
1739435427.259548,1294,False
1739435427.304941,1294,False
1739435427.305118,74,False
1739435427.306665,1294,False
1739435427.306898,1294,False
1739435427.306968,74,False
1739435427.307189,1294,False
1739435427.307363,310,False
1739435427.30741,74,False
1739435427.307625,1294,False
1739435427.307859,1294,False
1739435427.307902,74,False
1739435427.308031,487,False
1739435427.308423,74,False
1739435427.693637,74,False
1739435427.693757,74,False
1739435427.69434,98,False
1739435427.69434,74,False
1739435427.694492,74,False
1739435427.694606,74,False
1739435427.694691,74,False
1739435427.911715,74,False
1739435427.915499,66,False
1739435427.925445,89,False
1739435427.931422,86,False
1739435427.931494,86,False
1739435427.932018,487,False
1739435427.932125,54,False
1739435427.932227,85,False
1739435427.93335,89,False
1739435427.946668,487,False
1739435427.946768,54,False
1739435427.946776,85,False
1739435427.946834,54,False
1739435428.409565,54,False
1739435433.536833,86,False
1739435433.53691,86,False
1739435434.250857,3833,False
1739435434.5633,1446,False
1739435435.044365,1446,False
1739435435.271802,66,False
1739435435.417178,89,False
1739435435.88975,1446,False
1739435435.891553,66,False
1739435435.891656,1446,False
1739435436.33193,92,False
1739435436.332436,92,False
1739435436.335729,89,False
1739435436.375786,1446,False
1739435436.468805,74,False
1739435436.493662,112,False
1739435436.493827,112,False
1739435436.805662,54,False
1739435436.805662,224,False
1739435436.805662,260,False
1739435436.807869,66,False
1739435436.899834,66,False
1739435437.214768,93,False
1739435437.21486,66,False
1739435437.215,54,False
1739435437.215494,571,False
1739435437.260907,54,False
1739435437.318577,55,False
1739435437.522026,66,False
1739435437.569504,153,False
1739435437.570817,491,False
1739435437.609349,86,False
1739435437.613654,148,False
1739435437.689745,86,False
1739435437.689901,74,False
1739435437.690428,591,False
1739435437.719267,148,False
1739435437.829609,1454,False
1739435437.829609,1454,False
1739435437.829609,1454,False
1739435437.829609,387,False
1739435437.82982,54,False
1739435437.829946,54,False
1739435437.833096,2003,False
1739435437.924386,74,False
1739435437.948402,1294,False
1739435437.981231,1294,False
1739435437.981362,74,False
1739435437.981455,1294,False
1739435437.981559,536,False
1739435437.981635,74,False
1739435437.981989,54,False
1739435437.982106,426,False
1739435437.982758,154,False
1739435437.983303,241,False
1739435437.985186,147,False
1739435437.985329,1817,False
1739435438.136047,536,False
1739435438.136148,86,False
1739435438.136184,424,False
1739435438.138765,143,False
1739435438.138972,628,False
1739435438.331525,321,False
1739435438.37084,1294,False
1739435438.371071,86,False
1739435438.559697,75,False
1739435438.611118,1454,False
1739435438.655146,74,False
1739435438.690695,86,False
1739435438.705132,157,False
1739435438.754032,54,False
1739435439.160572,424,False
1739435439.160822,66,False
1739435439.163778,1294,False
1739435439.165384,672,False
1739435439.165384,1294,False
1739435439.165436,1294,False
1739435439.165472,74,False
1739435439.165554,74,False
1739435439.165862,1294,False
1739435439.165908,1294,False
1739435439.166196,1266,False
1739435439.16623,74,False
1739435439.167079,304,False
1739435439.167079,1294,False
1739435439.167126,1294,False
1739435439.167143,453,False
1739435439.167161,74,False
1739435439.167232,74,False
1739435439.167765,74,False
1739435439.208076,66,False
1739435439.208173,519,False
1739435439.208268,54,False
1739435439.20887,1454,False
